 ,Area,Mean,Min,Max,X,Y
1,0.000,147,147,147,0.110,0.137
2,0.000,136,136,136,0.048,0.925
3,0.000,168,168,168,0.733,0.596
4,0.000,131,131,131,0.514,1.445
5,0.000,168,168,168,0.678,1.664
6,0.000,95,95,95,0.514,2.103
7,0.000,33,33,33,0.596,2.432
8,0.000,163,163,163,0.158,2.459
9,0.000,190,190,190,0.432,2.788
10,0.000,184,184,184,0.103,3.390
11,0.000,163,163,163,0.541,3.445
12,0.000,142,142,142,0.075,4.842
13,0.000,195,195,195,0.075,4.267
14,0.000,195,195,195,0.377,3.966
15,0.000,168,168,168,0.486,4.130
16,0.000,158,158,158,0.678,4.021
17,0.000,195,195,195,0.815,4.185
18,0.000,179,179,179,1.116,4.295
19,0.000,131,131,131,1.418,4.404
20,0.000,13,13,13,1.856,4.185
21,0.000,158,158,158,2.295,4.240
22,0.000,147,147,147,2.568,4.596
23,0.000,168,168,168,1.445,2.925
24,0.000,131,131,131,2.103,3.144
25,0.000,158,158,158,1.829,1.829
26,0.000,173,173,173,2.651,3.034
27,0.000,115,115,115,4.322,1.336
28,0.000,136,136,136,4.240,1.473
29,0.000,152,152,152,4.377,1.856
30,0.000,142,142,142,5.007,2.651
31,0.000,142,142,142,5.144,2.897
32,0.000,147,147,147,4.651,0.678
33,0.000,200,200,200,4.815,1.116
34,0.000,163,163,163,5.500,0.075
35,0.000,69,69,69,6.788,0.103
36,0.000,158,158,158,6.788,0.459
37,0.000,110,110,110,6.925,0.733
38,0.000,163,163,163,7.034,0.952
39,0.000,195,195,195,6.979,1.308
40,0.000,0,0,0,6.541,1.637
41,0.000,89,89,89,6.103,2.212
42,0.000,74,74,74,6.541,2.541
43,0.000,222,222,222,7.034,2.541
44,0.000,158,158,158,7.281,2.240
45,0.000,200,200,200,7.390,1.747
46,0.000,184,184,184,7.637,2.075
47,0.000,100,100,100,7.747,2.185
48,0.000,95,95,95,8.185,2.432
49,0.000,195,195,195,8.541,1.527
50,0.000,195,195,195,8.432,1.116
51,0.000,84,84,84,8.322,0.705
52,0.000,74,74,74,8.185,0.459
53,0.000,126,126,126,8.158,0.185
54,0.000,206,206,206,7.747,0.130
55,0.000,158,158,158,7.418,0.185
56,0.000,206,206,206,7.555,0.432
57,0.000,79,79,79,9.719,1.801
58,0.000,131,131,131,9.911,1.445
59,0.000,142,142,142,10.103,1.199
60,0.000,105,105,105,10.267,1.062
61,0.000,131,131,131,10.377,0.870
62,0.000,168,168,168,10.377,0.733
63,0.000,126,126,126,10.486,0.541
64,0.000,105,105,105,10.514,0.158
65,0.000,110,110,110,10.240,0.048
66,0.000,173,173,173,11.007,0.568
67,0.000,152,152,152,11.116,0.760
68,0.000,110,110,110,11.226,0.925
69,0.000,126,126,126,11.390,1.144
70,0.000,115,115,115,11.445,1.363
71,0.000,0,0,0,11.500,1.582
72,0.000,54,54,54,11.363,1.829
73,0.000,126,126,126,11.747,1.719
74,0.000,168,168,168,11.938,1.993
75,0.000,173,173,173,12.158,2.103
76,0.000,142,142,142,12.240,2.295
77,0.000,190,190,190,10.952,2.322
78,0.000,173,173,173,12.733,1.527
79,0.000,227,227,227,12.514,1.144
80,0.000,142,142,142,13.199,1.144
81,0.000,173,173,173,13.363,0.788
82,0.000,121,121,121,13.226,0.596
83,0.000,115,115,115,13.171,0.295
84,0.000,84,84,84,13.199,0.103
85,0.000,0,0,0,14.295,1.007
86,0.000,115,115,115,14.568,0.897
87,0.000,142,142,142,14.815,0.623
88,0.000,152,152,152,15.062,0.404
89,0.000,74,74,74,15.527,0.295
90,0.000,115,115,115,15.829,0.705
91,0.000,168,168,168,15.582,1.281
92,0.000,152,152,152,15.281,1.664
93,0.000,136,136,136,16.212,1.555
94,0.000,200,200,200,15.801,1.774
95,0.000,152,152,152,15.911,1.993
96,0.000,126,126,126,15.966,2.212
97,0.000,110,110,110,16.021,2.404
98,0.000,173,173,173,15.966,2.760
99,0.000,179,179,179,15.801,3.007
100,0.000,206,206,206,15.993,3.199
101,0.000,195,195,195,16.240,3.308
102,0.000,105,105,105,16.349,3.473
103,0.000,206,206,206,16.541,3.719
104,0.000,115,115,115,16.623,3.363
105,0.000,200,200,200,16.952,3.226
106,0.000,158,158,158,17.089,3.034
107,0.000,95,95,95,17.253,2.979
108,0.000,105,105,105,17.500,2.925
109,0.000,74,74,74,17.637,2.815
110,0.000,69,69,69,17.664,2.651
111,0.000,115,115,115,17.555,2.432
112,0.000,121,121,121,17.226,2.459
113,0.000,136,136,136,17.281,2.103
114,0.000,136,136,136,17.281,1.856
115,0.000,142,142,142,17.281,1.610
116,0.000,126,126,126,17.336,1.281
117,0.000,173,173,173,17.308,1.171
118,0.000,121,121,121,17.199,0.897
119,0.000,136,136,136,17.116,0.788
120,0.000,147,147,147,17.116,0.568
121,0.000,115,115,115,17.171,0.322
122,0.000,158,158,158,17.089,0.103
123,0.000,136,136,136,17.582,0.212
124,0.000,158,158,158,17.856,0.788
125,0.000,110,110,110,18.788,1.281
126,0.000,110,110,110,19.144,0.185
127,0.000,173,173,173,19.253,0.349
128,0.000,142,142,142,19.445,0.514
129,0.000,195,195,195,19.719,0.568
130,0.000,147,147,147,19.829,0.514
131,0.000,142,142,142,19.993,0.568
132,0.000,184,184,184,20.158,0.842
133,0.000,152,152,152,20.185,1.089
134,0.000,54,54,54,20.158,1.363
135,0.000,131,131,131,20.130,1.692
136,0.000,28,28,28,19.993,1.966
137,0.000,0,0,0,19.911,2.130
138,0.000,74,74,74,20.678,2.377
139,0.000,163,163,163,20.705,0.979
140,0.000,131,131,131,20.733,0.705
141,0.000,152,152,152,20.842,0.267
142,0.000,152,152,152,20.979,0.103
143,0.000,163,163,163,20.596,0.075
144,0.000,59,59,59,21.007,4.952
145,0.000,79,79,79,20.842,4.842
146,0.000,115,115,115,19.034,3.527
147,0.000,173,173,173,19.007,3.829
148,0.000,105,105,105,18.568,4.979
149,0.000,69,69,69,16.870,4.788
