 ,Area,Mean,Min,Max,X,Y
1,0.000,111,111,111,0.082,0.274
2,0.000,152,152,152,1.774,3.171
3,0.000,111,111,111,1.664,3.116
4,0.000,155,155,155,1.500,2.897
5,0.000,171,171,171,1.363,2.651
6,0.000,198,198,198,1.253,2.596
7,0.000,186,186,186,1.144,2.377
8,0.000,183,183,183,1.199,2.185
9,0.000,186,186,186,1.034,2.075
10,0.000,171,171,171,0.870,1.911
11,0.000,161,161,161,0.733,1.692
12,0.000,180,180,180,0.678,1.637
13,0.000,164,164,164,0.568,1.390
14,0.000,164,164,164,0.596,1.089
15,0.000,88,88,88,0.568,0.788
16,0.000,134,134,134,0.979,0.158
17,0.000,161,161,161,1.089,0.678
18,0.000,155,155,155,1.308,0.678
19,0.000,167,167,167,1.582,0.596
20,0.000,146,146,146,1.829,0.514
21,0.000,164,164,164,2.048,0.541
22,0.000,120,120,120,2.295,0.925
23,0.000,195,195,195,2.568,1.418
24,0.000,158,158,158,2.705,1.774
25,0.000,177,177,177,3.308,2.295
26,0.000,137,137,137,1.884,2.788
27,0.000,146,146,146,2.322,3.116
28,0.000,202,202,202,2.788,3.418
29,0.000,167,167,167,3.116,3.527
30,0.000,180,180,180,3.500,3.418
31,0.000,183,183,183,3.856,3.253
32,0.000,155,155,155,4.267,3.144
33,0.000,126,126,126,4.240,2.322
34,0.000,128,128,128,3.884,0.678
35,0.000,158,158,158,3.555,0.075
36,0.000,167,167,167,3.938,1.993
37,0.000,180,180,180,4.185,1.610
38,0.000,171,171,171,4.596,1.062
39,0.000,149,149,149,4.952,0.870
40,0.000,149,149,149,5.226,0.678
41,0.000,149,149,149,5.336,0.322
42,0.000,158,158,158,6.240,0.377
43,0.000,183,183,183,6.212,0.103
44,0.000,186,186,186,6.349,0.788
45,0.000,149,149,149,6.212,1.089
46,0.000,91,91,91,5.993,1.418
47,0.000,158,158,158,5.966,2.075
48,0.000,174,174,174,6.267,2.349
49,0.000,174,174,174,6.514,2.596
50,0.000,195,195,195,6.842,2.678
51,0.000,189,189,189,7.034,2.678
52,0.000,80,80,80,6.733,2.103
53,0.000,161,161,161,7.308,2.377
54,0.000,177,177,177,7.692,2.240
55,0.000,164,164,164,7.966,2.048
56,0.000,177,177,177,8.075,1.610
57,0.000,171,171,171,7.966,1.390
58,0.000,140,140,140,8.103,0.979
59,0.000,161,161,161,8.651,1.884
60,0.000,174,174,174,8.979,2.021
61,0.000,152,152,152,9.199,2.103
62,0.000,174,174,174,9.527,2.075
63,0.000,97,97,97,9.829,1.774
64,0.000,108,108,108,9.884,1.527
65,0.000,126,126,126,9.774,1.336
66,0.000,114,114,114,9.253,1.089
67,0.000,186,186,186,6.979,0.788
68,0.000,158,158,158,7.473,0.568
69,0.000,146,146,146,7.445,0.952
70,0.000,183,183,183,7.637,1.062
71,0.000,152,152,152,8.021,0.404
72,0.000,126,126,126,8.404,0.267
73,0.000,171,171,171,10.842,0.404
74,0.000,120,120,120,11.938,1.062
75,0.000,149,149,149,12.760,1.829
76,0.000,174,174,174,12.267,0.185
77,0.000,186,186,186,12.514,0.404
78,0.000,177,177,177,12.651,0.185
79,0.000,149,149,149,12.952,0.185
80,0.000,158,158,158,13.171,0.541
81,0.000,183,183,183,13.308,0.842
82,0.000,174,174,174,14.432,1.582
83,0.000,192,192,192,14.815,1.527
84,0.000,198,198,198,15.199,1.363
85,0.000,97,97,97,15.363,0.925
86,0.000,134,134,134,15.719,0.541
87,0.000,85,85,85,14.788,2.678
88,0.000,146,146,146,15.747,2.486
89,0.000,174,174,174,16.541,1.747
90,0.000,180,180,180,16.952,1.418
91,0.000,183,183,183,17.226,1.418
92,0.000,202,202,202,17.445,1.062
93,0.000,161,161,161,18.486,1.062
94,0.000,128,128,128,19.719,1.637
95,0.000,171,171,171,20.048,2.705
96,0.000,186,186,186,19.829,2.623
97,0.000,177,177,177,19.664,3.116
98,0.000,152,152,152,19.664,3.829
99,0.000,161,161,161,20.623,3.226
100,0.000,82,82,82,20.733,3.911
101,0.000,111,111,111,20.952,5.062
102,0.000,108,108,108,20.240,5.062
103,0.000,105,105,105,19.664,5.007
104,0.000,155,155,155,19.829,5.500
105,0.000,152,152,152,18.733,4.377
106,0.000,128,128,128,18.075,4.240
107,0.000,131,131,131,17.363,3.527
108,0.000,167,167,167,16.733,3.226
109,0.000,180,180,180,17.938,2.925
110,0.000,149,149,149,18.240,2.651
111,0.000,167,167,167,17.171,1.966
112,0.000,114,114,114,16.240,3.747
113,0.000,131,131,131,17.774,4.842
114,0.000,123,123,123,18.541,6.185
115,0.000,152,152,152,18.788,6.733
116,0.000,164,164,164,19.171,6.979
117,0.000,180,180,180,19.336,6.541
118,0.000,171,171,171,19.336,6.377
119,0.000,155,155,155,19.445,6.103
120,0.000,202,202,202,20.048,5.966
121,0.000,174,174,174,20.459,5.884
122,0.000,117,117,117,20.870,10.404
123,0.000,174,174,174,20.541,10.596
124,0.000,183,183,183,20.075,10.596
125,0.000,149,149,149,19.856,10.678
126,0.000,167,167,167,19.637,10.952
127,0.000,198,198,198,19.390,11.116
128,0.000,140,140,140,19.116,11.199
129,0.000,120,120,120,18.185,13.281
130,0.000,174,174,174,18.432,12.651
131,0.000,171,171,171,18.103,12.404
132,0.000,155,155,155,17.418,12.377
133,0.000,186,186,186,16.925,12.295
134,0.000,99,99,99,16.459,12.596
135,0.000,171,171,171,16.760,12.979
136,0.000,164,164,164,17.034,13.199
137,0.000,167,167,167,17.199,13.473
138,0.000,131,131,131,17.281,13.664
139,0.000,158,158,158,17.664,13.856
140,0.000,186,186,186,18.678,13.527
141,0.000,192,192,192,19.089,13.610
142,0.000,146,146,146,19.610,13.555
143,0.000,174,174,174,20.021,13.445
144,0.000,186,186,186,20.404,13.116
145,0.000,164,164,164,20.733,13.116
146,0.000,158,158,158,19.089,11.856
147,0.000,180,180,180,19.445,12.322
148,0.000,128,128,128,17.884,10.842
149,0.000,140,140,140,17.226,10.733
150,0.000,131,131,131,16.760,10.651
151,0.000,152,152,152,16.596,10.432
152,0.000,161,161,161,16.377,9.719
153,0.000,111,111,111,16.130,8.842
154,0.000,0,0,0,16.185,8.349
155,0.000,88,88,88,16.377,7.363
156,0.000,80,80,80,14.130,6.815
157,0.000,114,114,114,15.281,8.678
158,0.000,117,117,117,15.445,11.473
159,0.000,152,152,152,14.815,12.432
160,0.000,152,152,152,15.253,12.651
161,0.000,158,158,158,15.418,12.760
162,0.000,146,146,146,15.610,12.870
163,0.000,91,91,91,15.774,13.144
164,0.000,82,82,82,15.911,13.555
165,0.000,102,102,102,15.363,13.582
166,0.000,177,177,177,14.952,13.445
167,0.000,177,177,177,14.596,13.445
168,0.000,171,171,171,14.541,13.363
169,0.000,146,146,146,14.432,13.253
170,0.000,174,174,174,14.295,13.116
171,0.000,140,140,140,14.158,13.062
172,0.000,105,105,105,14.158,12.870
173,0.000,128,128,128,14.048,12.651
174,0.000,99,99,99,13.664,13.418
175,0.000,189,189,189,13.829,13.007
176,0.000,177,177,177,13.747,13.774
177,0.000,171,171,171,12.596,13.911
178,0.000,155,155,155,12.514,13.719
179,0.000,167,167,167,12.404,13.555
180,0.000,183,183,183,12.158,13.610
181,0.000,131,131,131,11.911,13.500
182,0.000,134,134,134,11.610,13.226
183,0.000,140,140,140,11.774,13.938
184,0.000,149,149,149,10.979,13.281
185,0.000,152,152,152,10.541,13.171
186,0.000,195,195,195,10.103,13.308
187,0.000,123,123,123,8.979,13.062
188,0.000,146,146,146,9.062,12.733
189,0.000,167,167,167,8.842,12.678
190,0.000,146,146,146,8.130,12.432
191,0.000,164,164,164,8.021,12.240
192,0.000,91,91,91,7.856,11.856
193,0.000,180,180,180,8.432,12.158
194,0.000,183,183,183,8.486,11.747
195,0.000,161,161,161,8.651,11.527
196,0.000,202,202,202,9.116,11.500
197,0.000,180,180,180,9.527,11.582
198,0.000,186,186,186,9.747,11.966
199,0.000,137,137,137,9.938,11.363
200,0.000,180,180,180,9.610,10.897
201,0.000,171,171,171,8.815,10.185
202,0.000,134,134,134,10.596,10.925
203,0.000,117,117,117,10.514,10.158
204,0.000,123,123,123,9.116,9.747
205,0.000,28,28,28,11.473,11.034
206,0.000,131,131,131,12.349,11.308
207,0.000,158,158,158,12.705,10.842
208,0.000,183,183,183,12.432,10.568
209,0.000,152,152,152,12.760,10.240
210,0.000,161,161,161,12.377,9.938
211,0.000,105,105,105,12.075,9.555
212,0.000,128,128,128,11.692,8.678
213,0.000,131,131,131,0.349,3.884
214,0.000,140,140,140,1.062,3.719
215,0.000,134,134,134,0.952,4.021
216,0.000,158,158,158,1.144,5.116
217,0.000,198,198,198,1.747,4.267
218,0.000,171,171,171,1.856,4.377
219,0.000,177,177,177,2.048,4.541
220,0.000,189,189,189,2.514,4.979
221,0.000,117,117,117,2.733,4.541
222,0.000,143,143,143,3.336,4.130
223,0.000,177,177,177,5.034,3.390
224,0.000,174,174,174,4.897,4.295
225,0.000,146,146,146,5.144,4.514
226,0.000,161,161,161,4.596,5.062
227,0.000,183,183,183,4.404,5.582
228,0.000,202,202,202,4.897,5.527
229,0.000,211,211,211,5.418,5.473
230,0.000,177,177,177,5.911,5.473
231,0.000,192,192,192,6.267,5.555
232,0.000,137,137,137,6.733,5.692
233,0.000,164,164,164,6.842,4.541
234,0.000,131,131,131,7.226,4.158
235,0.000,164,164,164,7.582,3.966
236,0.000,146,146,146,8.130,3.747
237,0.000,174,174,174,8.568,3.719
238,0.000,134,134,134,8.842,3.390
239,0.000,146,146,146,8.486,4.705
240,0.000,189,189,189,8.760,5.226
241,0.000,143,143,143,9.829,5.089
242,0.000,128,128,128,9.966,4.788
243,0.000,91,91,91,10.404,4.705
244,0.000,131,131,131,10.705,4.596
245,0.000,146,146,146,11.527,4.486
246,0.000,183,183,183,11.610,4.075
247,0.000,192,192,192,11.829,4.349
248,0.000,189,189,189,11.856,4.979
249,0.000,174,174,174,11.829,5.281
250,0.000,164,164,164,12.075,5.473
251,0.000,152,152,152,11.911,5.911
252,0.000,99,99,99,11.089,5.884
253,0.000,167,167,167,10.568,5.500
254,0.000,137,137,137,11.034,6.788
255,0.000,164,164,164,9.007,8.459
256,0.000,161,161,161,8.760,8.514
257,0.000,161,161,161,8.568,8.486
258,0.000,208,208,208,8.075,8.377
259,0.000,149,149,149,7.144,8.705
260,0.000,198,198,198,7.637,8.760
261,0.000,155,155,155,7.637,9.253
262,0.000,174,174,174,9.993,7.034
263,0.000,164,164,164,9.774,6.897
264,0.000,171,171,171,9.281,6.760
265,0.000,177,177,177,9.089,6.514
266,0.000,161,161,161,8.842,6.295
267,0.000,192,192,192,8.651,6.212
268,0.000,177,177,177,8.322,6.267
269,0.000,158,158,158,8.158,6.349
270,0.000,177,177,177,7.637,6.432
271,0.000,183,183,183,7.253,6.651
272,0.000,152,152,152,6.788,6.842
273,0.000,186,186,186,5.363,6.048
274,0.000,177,177,177,5.719,6.349
275,0.000,167,167,167,6.349,7.062
276,0.000,186,186,186,6.568,7.747
277,0.000,137,137,137,6.349,8.486
278,0.000,155,155,155,5.637,8.596
279,0.000,152,152,152,5.253,8.432
280,0.000,158,158,158,5.034,8.185
281,0.000,161,161,161,4.897,8.130
282,0.000,183,183,183,4.568,8.541
283,0.000,164,164,164,4.541,9.199
284,0.000,143,143,143,4.377,9.692
285,0.000,126,126,126,0.486,10.103
286,0.000,97,97,97,0.952,8.952
287,0.000,134,134,134,1.418,8.788
288,0.000,180,180,180,1.582,9.911
289,0.000,183,183,183,2.048,9.610
290,0.000,174,174,174,2.486,9.582
291,0.000,180,180,180,2.130,10.733
292,0.000,158,158,158,3.116,10.651
293,0.000,186,186,186,3.390,10.295
294,0.000,186,186,186,3.801,10.568
295,0.000,152,152,152,3.966,11.226
296,0.000,88,88,88,3.938,12.103
297,0.000,120,120,120,4.897,12.103
298,0.000,171,171,171,4.815,11.418
299,0.000,152,152,152,5.199,11.363
300,0.000,171,171,171,5.582,11.171
301,0.000,146,146,146,6.048,11.089
302,0.000,143,143,143,5.363,12.541
303,0.000,164,164,164,5.473,12.979
304,0.000,171,171,171,5.473,13.281
305,0.000,189,189,189,5.692,13.473
306,0.000,167,167,167,5.911,13.610
307,0.000,161,161,161,4.432,13.582
308,0.000,99,99,99,3.747,13.664
309,0.000,180,180,180,3.664,13.171
310,0.000,180,180,180,3.500,12.842
311,0.000,183,183,183,3.418,12.432
312,0.000,171,171,171,3.199,12.185
313,0.000,158,158,158,3.144,13.418
314,0.000,177,177,177,2.486,13.911
315,0.000,164,164,164,2.103,13.527
316,0.000,149,149,149,1.829,13.445
317,0.000,174,174,174,1.390,13.610
318,0.000,177,177,177,1.199,13.884
319,0.000,137,137,137,0.404,13.199
320,0.000,195,195,195,0.925,13.336
321,0.000,158,158,158,1.144,13.062
322,0.000,174,174,174,7.692,13.692
323,0.000,94,94,94,14.404,5.171
324,0.000,131,131,131,14.925,5.610
325,0.000,174,174,174,13.719,12.295
326,0.000,192,192,192,13.692,11.500
327,0.000,180,180,180,14.651,10.651
328,0.000,164,164,164,11.774,9.390
329,0.000,174,174,174,11.555,9.308
330,0.000,167,167,167,11.336,9.308
331,0.000,167,167,167,13.445,6.705
332,0.000,167,167,167,12.514,6.130
333,0.000,158,158,158,13.993,7.500
334,0.000,198,198,198,14.185,7.993
