 ,Area,Mean,Min,Max,X,Y
1,0.000,124,124,124,0.603,0.082
2,0.000,133,133,133,1.637,0.103
3,0.000,140,140,140,1.445,0.322
4,0.000,103,103,103,1.034,0.815
5,0.000,112,112,112,1.007,1.336
6,0.000,143,143,143,1.281,1.884
7,0.000,92,92,92,1.692,2.130
8,0.000,130,130,130,0.842,2.185
9,0.000,100,100,100,2.212,1.582
10,0.000,83,83,83,2.678,0.925
11,0.000,133,133,133,1.911,2.815
12,0.000,155,155,155,1.527,4.048
13,0.000,143,143,143,0.185,4.185
14,0.000,130,130,130,2.897,3.610
15,0.000,152,152,152,3.801,3.007
16,0.000,95,95,95,4.295,2.459
17,0.000,83,83,83,6.075,0.048
18,0.000,112,112,112,6.322,0.815
19,0.000,65,65,65,6.404,2.185
20,0.000,118,118,118,5.500,2.733
21,0.000,103,103,103,5.993,2.952
22,0.000,109,109,109,6.568,3.171
23,0.000,133,133,133,6.596,3.856
24,0.000,170,170,170,6.678,4.568
25,0.000,106,106,106,7.226,3.856
26,0.000,109,109,109,7.445,4.048
27,0.000,86,86,86,8.459,4.295
28,0.000,115,115,115,8.815,4.377
29,0.000,106,106,106,8.925,3.199
30,0.000,86,86,86,8.048,3.719
31,0.000,133,133,133,8.295,0.075
32,0.000,112,112,112,8.815,0.705
33,0.000,74,74,74,9.719,0.897
34,0.000,106,106,106,10.158,0.925
35,0.000,95,95,95,10.349,1.116
36,0.000,143,143,143,10.322,1.610
37,0.000,115,115,115,10.459,2.240
38,0.000,92,92,92,10.404,3.199
39,0.000,100,100,100,10.075,3.801
40,0.000,140,140,140,9.582,4.733
41,0.000,158,158,158,9.308,5.582
42,0.000,118,118,118,9.007,5.664
43,0.000,121,121,121,8.212,5.500
44,0.000,118,118,118,11.116,4.514
45,0.000,68,68,68,11.884,1.034
46,0.000,112,112,112,11.445,-0.007
47,0.000,83,83,83,14.103,0.267
48,0.000,118,118,118,14.705,0.678
49,0.000,89,89,89,15.582,0.377
50,0.000,124,124,124,14.842,1.555
51,0.000,127,127,127,14.623,1.884
52,0.000,130,130,130,14.377,2.103
53,0.000,170,170,170,14.267,2.514
