 ,Area,Mean,Min,Max,X,Y
1,0.000,100,100,100,0.575,0.110
2,0.000,43,43,43,1.308,0.459
3,0.000,8,8,8,1.363,1.116
4,0.000,79,79,79,1.473,2.349
5,0.000,142,142,142,0.212,1.966
6,0.000,64,64,64,0.568,2.760
7,0.000,105,105,105,0.514,3.034
8,0.000,100,100,100,0.568,3.308
9,0.000,163,163,163,0.815,3.610
10,0.000,121,121,121,1.089,3.801
11,0.000,142,142,142,1.281,3.911
12,0.000,79,79,79,1.500,4.130
13,0.000,115,115,115,1.774,4.212
14,0.000,147,147,147,2.048,4.322
15,0.000,121,121,121,2.404,4.514
16,0.000,152,152,152,2.130,4.815
17,0.000,179,179,179,1.938,4.897
18,0.000,84,84,84,0.760,5.418
19,0.000,142,142,142,2.322,4.158
20,0.000,79,79,79,2.432,3.856
21,0.000,158,158,158,2.678,3.774
22,0.000,147,147,147,2.870,3.582
23,0.000,147,147,147,3.034,3.418
24,0.000,115,115,115,3.116,3.253
25,0.000,173,173,173,3.363,3.062
26,0.000,136,136,136,2.541,3.089
27,0.000,173,173,173,3.007,3.171
28,0.000,115,115,115,3.199,2.568
29,0.000,173,173,173,2.486,2.486
30,0.000,152,152,152,1.911,2.212
31,0.000,69,69,69,3.336,2.295
32,0.000,84,84,84,3.637,2.048
33,0.000,3,3,3,3.664,1.911
34,0.000,33,33,33,3.555,1.801
35,0.000,115,115,115,4.212,1.692
36,0.000,168,168,168,4.897,1.610
37,0.000,131,131,131,4.897,2.021
38,0.000,126,126,126,3.527,1.034
39,0.000,110,110,110,3.637,0.952
40,0.000,115,115,115,3.884,0.705
41,0.000,0,0,0,4.185,0.404
42,0.000,28,28,28,4.568,0.541
43,0.000,147,147,147,4.842,0.788
44,0.000,147,147,147,5.034,0.925
45,0.000,95,95,95,3.582,0.377
46,0.000,105,105,105,3.418,0.185
47,0.000,200,200,200,3.144,0.432
48,0.000,152,152,152,2.952,0.322
49,0.000,126,126,126,2.815,0.158
50,0.000,121,121,121,2.404,0.212
51,0.000,136,136,136,2.240,0.349
52,0.000,115,115,115,2.103,0.377
53,0.000,152,152,152,1.966,0.377
54,0.000,95,95,95,2.021,0.075
55,0.000,152,152,152,5.884,0.158
56,0.000,152,152,152,6.158,0.404
57,0.000,152,152,152,6.349,0.568
58,0.000,173,173,173,6.596,0.459
59,0.000,126,126,126,6.952,0.377
